time_stamp,CL=F,CPI,DXYN,GC=F,SI=F,^DJI,^IXIC,^RUT,^TNX,EURUSD=X,GBPUSD=X,^FTSE,N225
2020-08-16,42.88999938964844,27.309999465942383,0.8799999952316284,1985.0,27.64299964904785,27844.91015625,11129.73046875,1585.469970703125,0.6830000281333923,1.1852554082870483,1.3107001781463623,6127.39990234375,23096.75
2020-08-17,42.88999938964844,27.309999465942383,0.8799999952316284,1985.0,27.64299964904785,27844.91015625,11129.73046875,1585.469970703125,0.6830000281333923,1.1852554082870483,1.3107001781463623,6127.39990234375,23096.75
2020-08-18,42.88999938964844,27.290000915527344,0.9300000071525574,1999.4000244140625,28.048999786376953,27778.0703125,11210.83984375,1569.77001953125,0.6690000295639038,1.1876484155654907,1.3107877969741821,6076.60009765625,23051.080078125
2020-08-19,42.93000030517578,27.209999084472656,0.9399999976158142,1958.699951171875,27.315000534057617,27692.880859375,11146.4599609375,1572.0699462890625,0.675000011920929,1.1947859525680542,1.325398564338684,6112.0,23110.609375
2020-08-20,42.58000183105469,27.25,0.9700000286102295,1933.800048828125,27.121999740600586,27739.73046875,11264.9501953125,1564.300048828125,0.6439999938011169,1.1843500137329102,1.311079978942871,6013.2998046875,22880.619140625
2020-08-21,42.34000015258789,27.260000228881836,1.0099999904632568,1934.5999755859375,26.707000732421875,27930.330078125,11311.7998046875,1552.47998046875,0.6399999856948853,1.1873664855957031,1.3220343589782715,6001.89990234375,22920.30078125
2020-08-22,42.619998931884766,27.280000686645508,0.9800000190734863,1927.699951171875,26.58799934387207,28308.4609375,11379.7197265625,1568.469970703125,0.6460000276565552,1.1798018217086792,1.3094146251678467,6104.7001953125,22985.509765625
2020-08-23,42.619998931884766,27.280000686645508,0.9800000190734863,1927.699951171875,26.58799934387207,28308.4609375,11379.7197265625,1568.469970703125,0.6460000276565552,1.1798018217086792,1.3094146251678467,6104.7001953125,22985.509765625
2020-08-24,42.619998931884766,27.280000686645508,0.9800000190734863,1927.699951171875,26.58799934387207,28308.4609375,11379.7197265625,1568.469970703125,0.6460000276565552,1.1798018217086792,1.3094146251678467,6104.7001953125,22985.509765625
2020-08-25,43.349998474121094,27.280000686645508,0.9900000095367432,1911.800048828125,26.253999710083008,28248.439453125,11466.4697265625,1571.2099609375,0.6819999814033508,1.1794538497924805,1.307138204574585,6037.0,23296.76953125
2020-08-26,43.38999938964844,27.260000228881836,0.9700000286102295,1940.699951171875,27.43000030517578,28331.919921875,11665.0595703125,1560.18994140625,0.6869999766349792,1.183501958847046,1.3152183294296265,6045.60009765625,23290.859375
2020-08-27,43.040000915527344,27.290000915527344,1.0,1921.5999755859375,27.010000228881836,28492.26953125,11625.33984375,1564.56005859375,0.7459999918937683,1.1842728853225708,1.3219819068908691,6000.0,23208.859375
2020-08-28,42.970001220703125,27.309999465942383,1.0,1964.5999755859375,27.610000610351562,28653.869140625,11695.6298828125,1578.3399658203125,0.7289999723434448,1.1819632053375244,1.3199577331542969,5963.60009765625,22882.650390625
2020-08-29,42.61000061035156,27.309999465942383,0.9599999785423279,1967.5999755859375,28.437000274658203,28430.05078125,11775.4599609375,1561.8800048828125,0.6930000185966492,1.1918240785598755,1.3356484174728394,5963.60009765625,23139.759765625
2020-08-30,42.61000061035156,27.309999465942383,0.9599999785423279,1967.5999755859375,28.437000274658203,28430.05078125,11775.4599609375,1561.8800048828125,0.6930000185966492,1.1918240785598755,1.3356484174728394,5963.60009765625,23139.759765625
2020-08-31,42.61000061035156,27.309999465942383,0.9599999785423279,1967.5999755859375,28.437000274658203,28430.05078125,11775.4599609375,1561.8800048828125,0.6930000185966492,1.1918240785598755,1.3356484174728394,5963.60009765625,23139.759765625
2020-09-01,42.7599983215332,27.31999969482422,0.9399999976158142,1968.199951171875,28.486000061035156,28645.66015625,11939.669921875,1578.5799560546875,0.671999990940094,1.193901538848877,1.3364516496658325,5862.10009765625,23138.0703125
2020-09-02,41.5099983215332,27.34000015258789,1.100000023841858,1934.4000244140625,27.249000549316406,29100.5,12056.4404296875,1592.2900390625,0.6510000228881836,1.1923214197158813,1.339943766593933,5941.0,23247.150390625
2020-09-03,41.369998931884766,27.299999237060547,1.0800000429153442,1927.5999755859375,26.735000610351562,28292.73046875,11458.099609375,1544.6800537109375,0.621999979019165,1.184735894203186,1.335131287574768,5850.89990234375,23465.529296875
2020-09-04,39.77000045776367,27.280000686645508,0.9399999976158142,1923.9000244140625,26.576000213623047,28133.310546875,11313.1298828125,1535.300048828125,0.7210000157356262,1.1839784383773804,1.3262248039245605,5799.10009765625,23205.4296875
2020-09-05,39.77000045776367,27.280000686645508,0.9399999976158142,1923.9000244140625,26.576000213623047,28133.310546875,11313.1298828125,1535.300048828125,0.7210000157356262,1.183445930480957,1.3245735168457031,5937.39990234375,23089.94921875
2020-09-06,39.77000045776367,27.280000686645508,0.9399999976158142,1923.9000244140625,26.576000213623047,28133.310546875,11313.1298828125,1535.300048828125,0.7210000157356262,1.183445930480957,1.3245735168457031,5937.39990234375,23089.94921875
2020-09-07,39.77000045776367,27.280000686645508,0.9399999976158142,1923.9000244140625,26.576000213623047,28133.310546875,11313.1298828125,1535.300048828125,0.7210000157356262,1.183445930480957,1.3245735168457031,5937.39990234375,23089.94921875
2020-09-08,36.7599983215332,27.229999542236328,0.9700000286102295,1933.0,26.86400032043457,27500.890625,10847.6904296875,1504.5899658203125,0.6840000152587891,1.1821727752685547,1.3162224292755127,5930.2998046875,23274.130859375
2020-09-09,38.04999923706055,27.290000915527344,0.9100000262260437,1944.699951171875,26.954999923706055,27940.470703125,11141.5595703125,1526.47998046875,0.703000009059906,1.177024483680725,1.2968486547470093,6012.7998046875,23032.5390625
2020-09-10,37.29999923706055,27.219999313354492,0.8799999952316284,1954.199951171875,27.163000106811523,27534.580078125,10919.58984375,1507.75,0.6850000023841858,1.1806375980377197,1.2999167442321777,6003.2998046875,23235.470703125
2020-09-11,37.33000183105469,27.219999313354492,0.8700000047683716,1937.800048828125,26.73900032043457,27665.640625,10853.5498046875,1497.27001953125,0.6690000295639038,1.1824384927749634,1.2808295488357544,6032.10009765625,23406.490234375
2020-09-12,37.2599983215332,27.309999465942383,0.8399999737739563,1953.0999755859375,27.229000091552734,27993.330078125,11056.650390625,1536.969970703125,0.6710000038146973,1.1842728853225708,1.2806557416915894,6026.2998046875,23559.30078125
2020-09-13,37.2599983215332,27.309999465942383,0.8399999737739563,1953.0999755859375,27.229000091552734,27993.330078125,11056.650390625,1536.969970703125,0.6710000038146973,1.1842728853225708,1.2806557416915894,6026.2998046875,23559.30078125
2020-09-14,37.2599983215332,27.309999465942383,0.8399999737739563,1953.0999755859375,27.229000091552734,27993.330078125,11056.650390625,1536.969970703125,0.6710000038146973,1.1842728853225708,1.2806557416915894,6026.2998046875,23559.30078125
2020-09-15,38.279998779296875,27.329999923706055,0.8799999952316284,1956.300048828125,27.34600067138672,27995.599609375,11190.3203125,1538.1500244140625,0.6790000200271606,1.187000036239624,1.2849671840667725,6105.5,23454.890625
2020-09-16,40.15999984741211,27.360000610351562,0.8399999737739563,1960.199951171875,27.354999542236328,28032.380859375,11050.4697265625,1552.3299560546875,0.6869999766349792,1.1844412088394165,1.2884771823883057,6078.5,23475.529296875
2020-09-17,40.970001220703125,27.309999465942383,0.8299999833106995,1940.0,26.985000610351562,27901.98046875,10910.2802734375,1542.5999755859375,0.6840000152587891,1.1803449392318726,1.2959998846054077,6049.89990234375,23319.369140625
2020-09-18,41.11000061035156,27.229999542236328,0.8399999737739563,1952.0999755859375,27.027999877929688,27657.419921875,10793.2802734375,1536.780029296875,0.6940000057220459,1.1848200559616089,1.2975554466247559,6007.10009765625,23360.30078125
2020-09-19,39.310001373291016,27.18000030517578,0.8100000023841858,1901.199951171875,24.298999786376953,27147.69921875,10778.7998046875,1485.25,0.6710000038146973,1.1845533847808838,1.2932761907577515,5804.2998046875,23360.30078125
2020-09-20,39.310001373291016,27.18000030517578,0.8100000023841858,1901.199951171875,24.298999786376953,27147.69921875,10778.7998046875,1485.25,0.6710000038146973,1.1845533847808838,1.2932761907577515,5804.2998046875,23360.30078125
2020-09-21,39.310001373291016,27.18000030517578,0.8100000023841858,1901.199951171875,24.298999786376953,27147.69921875,10778.7998046875,1485.25,0.6710000038146973,1.1845533847808838,1.2932761907577515,5804.2998046875,23360.30078125
2020-09-22,39.599998474121094,27.209999084472656,0.8199999928474426,1898.5999755859375,24.441999435424805,27288.1796875,10963.6396484375,1496.9599609375,0.6639999747276306,1.176800012588501,1.2820513248443604,5829.5,23360.30078125
2020-09-23,39.93000030517578,27.139999389648438,0.800000011920929,1859.9000244140625,23.013999938964844,26763.130859375,10632.990234375,1451.4599609375,0.6759999990463257,1.1708368062973022,1.2744048833847046,5899.2998046875,23346.490234375
2020-09-24,40.310001373291016,27.15999984741211,0.7799999713897705,1868.300048828125,23.118000030517578,26815.439453125,10672.26953125,1451.8199462890625,0.6660000085830688,1.1658544540405273,1.2717468738555908,5822.7998046875,23087.8203125
2020-09-25,40.25,27.209999084472656,0.8500000238418579,1857.699951171875,23.017000198364258,27173.9609375,10913.5595703125,1474.9100341796875,0.6589999794960022,1.1673243045806885,1.2757054567337036,5842.7001953125,23204.619140625
2020-09-26,40.599998474121094,27.260000228881836,0.8399999737739563,1872.800048828125,23.527999877929688,27584.060546875,11117.5302734375,1510.3399658203125,0.6629999876022339,1.1635348796844482,1.2766826152801514,5927.89990234375,23511.619140625
2020-09-27,40.599998474121094,27.260000228881836,0.8399999737739563,1872.800048828125,23.527999877929688,27584.060546875,11117.5302734375,1510.3399658203125,0.6629999876022339,1.1635348796844482,1.2766826152801514,5927.89990234375,23511.619140625
2020-09-28,40.599998474121094,27.260000228881836,0.8399999737739563,1872.800048828125,23.527999877929688,27584.060546875,11117.5302734375,1510.3399658203125,0.6629999876022339,1.1635348796844482,1.2766826152801514,5927.89990234375,23511.619140625
2020-09-29,39.290000915527344,27.239999771118164,0.8100000023841858,1894.300048828125,24.3799991607666,27452.66015625,11085.25,1504.72998046875,0.6449999809265137,1.167883276939392,1.2873492240905762,5897.5,23539.099609375
2020-09-30,40.220001220703125,27.25,0.8999999761581421,1887.5,23.433000564575195,27781.69921875,11167.509765625,1507.68994140625,0.6769999861717224,1.1742050647735596,1.2866535186767578,5866.10009765625,23185.119140625
2020-10-01,38.720001220703125,27.290000915527344,0.8500000238418579,1908.4000244140625,24.19300079345703,27816.900390625,11326.509765625,1531.199951171875,0.6769999861717224,1.1726078987121582,1.2917560338974,5879.5,23185.119140625
2020-10-02,37.04999923706055,27.31999969482422,0.9200000166893005,1900.199951171875,23.97100067138672,27682.810546875,11075.01953125,1539.300048828125,0.6959999799728394,1.1744946241378784,1.2886265516281128,5902.10009765625,23029.900390625
2020-10-03,39.220001220703125,27.329999923706055,0.8899999856948853,1912.5,24.50200080871582,28148.640625,11332.490234375,1581.9599609375,0.7620000243186951,1.1720443964004517,1.2931090593338013,5942.89990234375,23312.140625
